,Full_Name,Overall,Potential,Value(in_Euro),Positions_Played,Best_Position,Nationality,Age,Club_Name,Wage(in_Euro),Release_Clause,Defending_Total,Physicality_Total,Position_Category
0,Lionel Messi,91,91,54000000,RW,CAM,Argentina,35,Paris Saint-Germain,195000,99900000,34,64,Midfield
1,Karim Benzema,91,91,64000000,"CF,ST",CF,France,34,Real Madrid CF,450000,131199999,39,78,Attack
2,Robert Lewandowski,91,91,84000000,ST,ST,Poland,33,FC Barcelona,420000,172200000,44,83,Attack
3,Kevin De Bruyne,91,91,107500000,"CM,CAM",CM,Belgium,31,Manchester City,350000,198900000,64,77,Midfield
4,Kylian Mbappé,91,95,190500000,"ST,LW",ST,France,23,Paris Saint-Germain,230000,366700000,36,76,Attack
5,Mohamed Salah,90,90,115500000,RW,RW,Egypt,30,Liverpool,270000,213700000,45,75,Attack
6,Thibaut Courtois,90,91,90000000,GK,GK,Belgium,30,Real Madrid CF,250000,191300000,46,89,Goalkeeper
7,Manuel Neuer,90,90,13500000,GK,GK,Germany,36,FC Bayern München,72000,22300000,56,91,Goalkeeper
8,C. Ronaldo dos Santos Aveiro,90,90,41000000,ST,ST,Portugal,37,Manchester United,220000,77900000,34,75,Attack
9,Virgil van Dijk,90,90,98000000,CB,CB,Netherlands,30,Liverpool,230000,181300000,91,86,Defense
10,Harry Kane,89,89,105500000,ST,ST,England,28,Tottenham Hotspur,240000,200500000,47,82,Attack
11,Neymar da Silva Santos Jr.,89,89,99500000,LW,LW,Brazil,30,Paris Saint-Germain,200000,184100000,37,61,Attack
12,Heung Min Son,89,89,101000000,"LW,LM",LW,Korea Republic,29,Tottenham Hotspur,240000,191900000,42,69,Attack
13,Carlos Henrique Venancio Casimiro,89,89,86000000,CDM,CDM,Brazil,30,Manchester United,240000,163400000,87,90,Other
14,Jan Oblak,89,91,85500000,GK,GK,Slovenia,29,Atlético de Madrid,100000,181700000,49,87,Goalkeeper
15,Sadio Mané,89,89,99500000,"LM,CF",LM,Senegal,30,FC Bayern München,145000,164200000,44,77,Midfield
16,Ederson Santana de Moraes,89,91,88000000,GK,GK,Brazil,28,Manchester City,210000,169400000,64,88,Goalkeeper
17,Joshua Kimmich,89,90,105500000,"CDM,RB",CDM,Germany,27,FC Bayern München,130000,182000000,83,79,Other
18,Alisson Ramses Becker,89,90,79000000,GK,GK,Brazil,29,Liverpool,190000,152100000,54,90,Goalkeeper
19,N'Golo Kanté,89,89,72000000,"CDM,CM",CDM,France,31,Chelsea,220000,133199999,87,82,Other
20,Rúben Santos Gato Alves Dias,88,91,107500000,CB,CB,Portugal,25,Manchester City,230000,206900000,88,88,Defense
21,Erling Haaland,88,94,148000000,ST,ST,Norway,21,Manchester City,220000,303400000,49,87,Attack
22,Gianluigi Donnarumma,88,92,103500000,GK,GK,Italy,23,Paris Saint-Germain,110000,199200000,52,85,Goalkeeper
23,Bernardo Mota Carvalho e Silva,88,88,97500000,"CAM,CM",CAM,Portugal,27,Manchester City,260000,180400000,61,68,Midfield
